0,Afghanistan,1952,8425333
1,Australia,1957,9712569
2,Bangladesh,1962,56839289
3,Belgium,1967,9556500
4,Brazil,1972,100840058
5,Unknown,?,6978607
6,Canada,1982,25201900
7,China,1982,1000281000
8,Egypt,1982,45681811
9,Ethiopia,1982,0
10,France,1987,55630100
11,Germany,1007,82400996
12,Greece,0,7733250
13,Not Available,1957,3640876
14,India,1972,567000000
15,Indonesia,1962,99028000
16,Israel,1967,2693585
17,Italy,1982,56535636
18,,1987,7824747
19,Mauritius,1987,1042663
20,New Zealand,1992,3437674
21,Pakistan,,91462088
22,Singapore,1967,1977600
23,Switzerland,1977,6316424
24,United Kingdom,1992,57866349
25,United States,2007,301139947
26,Zambia,1952,2672000
27,Zimbabwe,2007,12311143
