Stack,AMZN,,BA,,CAT,
Date,Close,Volume,Close,Volume,Close,Volume
3/16/2020,1689.150024,8917300,129.610001,26844400,93.410004,9899000
3/17/2020,1807.839966,10917100,124.139999,54492200,100.199997,7206100
3/18/2020,1830,9645200,101.889999,61943200,100.120003,6995100
3/19/2020,1880.930054,10399900,97.709999,40210600,103.010002,6870800
3/20/2020,1846.089966,9817900,95.010002,41370700,95.5,7650300
3/23/2020,1902.829956,7808500,105.620003,46140100,91.849998,6737500
3/24/2020,1940.099976,7147100,127.68,43683100,101.339996,7417100
3/25/2020,1885.839966,6479100,158.729996,77826000,104.669998,6578100
3/26/2020,1955.48999,6221300,180.550003,63267300,110.5,6059600
3/27/2020,1900.099976,5387900,162,47880200,105.440002,5746500
